elo_category,opening_name,white_wins,black_wins,draws,total_games,white_win_rate,black_win_rate,draw_rate
Beginner (<1200),Bishop's Opening,77.0,111.0,2.0,190,0.4052631578947368,0.5842105263157895,0.010526315789473684
Beginner (<1200),Caro-Kann Defense,186.0,225.0,6.0,417,0.4460431654676259,0.539568345323741,0.014388489208633094
Beginner (<1200),Caro-Kann Defense: Exchange Variation,58.0,44.0,2.0,104,0.5576923076923077,0.4230769230769231,0.019230769230769232
Beginner (<1200),Englund Gambit,82.0,67.0,2.0,151,0.543046357615894,0.44370860927152317,0.013245033112582781
Beginner (<1200),Four Knights Game: Italian Variation,170.0,171.0,7.0,348,0.4885057471264368,0.49137931034482757,0.020114942528735632
Beginner (<1200),French Defense,47.0,58.0,1.0,106,0.44339622641509435,0.5471698113207547,0.009433962264150943
Beginner (<1200),French Defense: Advance Variation,36.0,64.0,1.0,101,0.3564356435643564,0.6336633663366337,0.009900990099009901
Beginner (<1200),French Defense: Knight Variation,116.0,111.0,6.0,233,0.4978540772532189,0.47639484978540775,0.02575107296137339
Beginner (<1200),Horwitz Defense,114.0,68.0,4.0,186,0.6129032258064516,0.3655913978494624,0.021505376344086023
Beginner (<1200),Hungarian Opening,73.0,62.0,2.0,137,0.5328467153284672,0.45255474452554745,0.014598540145985401
Beginner (<1200),Indian Defense,83.0,84.0,5.0,172,0.48255813953488375,0.4883720930232558,0.029069767441860465
Beginner (<1200),Italian Game,78.0,47.0,3.0,128,0.609375,0.3671875,0.0234375
Beginner (<1200),Italian Game: Anti-Fried Liver Defense,75.0,65.0,4.0,144,0.5208333333333334,0.4513888888888889,0.027777777777777776
Beginner (<1200),Italian Game: Giuoco Piano,69.0,57.0,3.0,129,0.5348837209302325,0.4418604651162791,0.023255813953488372
Beginner (<1200),Italian Game: Paris Defense,61.0,50.0,0.0,111,0.5495495495495496,0.45045045045045046,0.0
Beginner (<1200),"Italian Game: Two Knights Defense, Modern Bishop's Opening",48.0,50.0,3.0,101,0.4752475247524752,0.49504950495049505,0.0297029702970297
Beginner (<1200),King's Knight Opening: Normal Variation,44.0,64.0,2.0,110,0.4,0.5818181818181818,0.01818181818181818
Beginner (<1200),King's Pawn Game: Busch-Gass Gambit,90.0,48.0,0.0,138,0.6521739130434783,0.34782608695652173,0.0
Beginner (<1200),King's Pawn Game: Damiano Defense,81.0,33.0,1.0,115,0.7043478260869566,0.28695652173913044,0.008695652173913044
Beginner (<1200),King's Pawn Game: Leonardis Variation,83.0,103.0,3.0,189,0.43915343915343913,0.544973544973545,0.015873015873015872
Beginner (<1200),King's Pawn Game: McConnell Defense,72.0,33.0,1.0,106,0.6792452830188679,0.3113207547169811,0.009433962264150943
Beginner (<1200),King's Pawn Game: Napoleon Attack,47.0,75.0,1.0,123,0.3821138211382114,0.6097560975609756,0.008130081300813009
Beginner (<1200),King's Pawn Game: Wayward Queen Attack,106.0,124.0,8.0,238,0.44537815126050423,0.5210084033613446,0.03361344537815126
Beginner (<1200),Modern Defense,108.0,93.0,4.0,205,0.526829268292683,0.45365853658536587,0.01951219512195122
Beginner (<1200),Owen Defense,59.0,59.0,4.0,122,0.48360655737704916,0.48360655737704916,0.03278688524590164
Beginner (<1200),Philidor Defense,289.0,170.0,14.0,473,0.6109936575052854,0.3594080338266385,0.02959830866807611
Beginner (<1200),Pirc Defense,147.0,144.0,7.0,298,0.49328859060402686,0.48322147651006714,0.02348993288590604
Beginner (<1200),Queen's Gambit Declined: Marshall Defense,52.0,50.0,2.0,104,0.5,0.4807692307692308,0.019230769230769232
Beginner (<1200),Queen's Pawn Game,261.0,281.0,14.0,556,0.4694244604316547,0.5053956834532374,0.025179856115107913
Beginner (<1200),Queen's Pawn Game: Accelerated London System,343.0,233.0,12.0,588,0.5833333333333334,0.39625850340136054,0.02040816326530612
Beginner (<1200),Queen's Pawn Game: Chigorin Variation,181.0,181.0,13.0,375,0.4826666666666667,0.4826666666666667,0.034666666666666665
Beginner (<1200),Queen's Pawn Game: Zukertort Variation,68.0,46.0,5.0,119,0.5714285714285714,0.3865546218487395,0.04201680672268908
Beginner (<1200),Russian Game,67.0,46.0,2.0,115,0.5826086956521739,0.4,0.017391304347826087
Beginner (<1200),Russian Game: Italian Variation,63.0,46.0,1.0,110,0.5727272727272728,0.41818181818181815,0.00909090909090909
Beginner (<1200),Russian Game: Three Knights Game,90.0,57.0,1.0,148,0.6081081081081081,0.38513513513513514,0.006756756756756757
Beginner (<1200),Scandinavian Defense,176.0,206.0,10.0,392,0.4489795918367347,0.5255102040816326,0.025510204081632654
Beginner (<1200),Scandinavian Defense: Mieses-Kotroc Variation,147.0,105.0,3.0,255,0.5764705882352941,0.4117647058823529,0.011764705882352941
Beginner (<1200),Scandinavian Defense: Valencian Variation,65.0,62.0,5.0,132,0.49242424242424243,0.4696969696969697,0.03787878787878788
Beginner (<1200),Scotch Game,185.0,137.0,6.0,328,0.5640243902439024,0.4176829268292683,0.018292682926829267
Beginner (<1200),Sicilian Defense,52.0,86.0,4.0,142,0.36619718309859156,0.6056338028169014,0.028169014084507043
Beginner (<1200),Sicilian Defense: Bowdler Attack,54.0,104.0,4.0,162,0.3333333333333333,0.6419753086419753,0.024691358024691357
